product_id,product_name,product_width,product_length,material,color,packaging_weight,manufacturer,price,release_date
1,"Pork - Bacon, Sliced",37.82,94.63,plastic,Orange,7.78,Voolia,88.17,10/3/2006
2,Lamb Shoulder Boneless Nz,88.28,58.52,plastic,Red,2.54,Kwideo,86.28,11/25/2022
3,Sesame Seed,62.54,62.37,glass,Violet,6.25,Flashpoint,695.5,1/25/2001
4,Sea Bass - Fillets,33.29,42.66,wood,Blue,4.12,Trudoo,430.38,7/11/2002
5,Tea - Earl Grey,26.83,35.32,wood,Indigo,9.9,Teklist,293.66,9/11/2000
6,Wine - Montecillo Rioja Crianza,21.17,55.16,plastic,Blue,6.51,Jabbersphere,204.37,6/16/2010
7,Wine - Magnotta - Pinot Gris Sr,17.78,46.1,plastic,Orange,2.08,Realfire,822.6,5/5/2022
8,Oven Mitt - 13 Inch,71.83,24.43,wood,Teal,8.14,Feedfish,35.55,5/29/2019
9,The Pop Shoppe - Black Cherry,69.6,92.16,glass,Teal,8.43,Realcube,32.5,12/5/2011
10,Honey - Liquid,99.85,48.43,plastic,Puce,1.35,Layo,6.88,6/12/2013
11,Chocolate - White,80.86,26.52,metal,Violet,7.83,Latz,927.87,7/25/2021
12,"Lobster - Tail, 3 - 4 Oz",69.87,12.84,glass,Aquamarine,5.03,Topicblab,172.83,4/15/2002
13,"Shrimp - 16 - 20 Cooked, Peeled",5.03,65.0,glass,Indigo,2.69,Yakijo,572.66,6/29/2003
14,Wine - Tio Pepe Sherry Fino,56.61,32.67,glass,Goldenrod,2.69,Voonix,601.19,11/17/2017
15,"Bread - White, Sliced",13.82,16.83,plastic,Crimson,7.32,Meejo,848.26,4/1/2002
16,Tea - Green,28.25,47.34,metal,Goldenrod,5.87,Zooveo,501.27,9/7/2020
17,Mince Meat - Filling,65.49,77.49,wood,Red,6.66,Reallinks,951.87,4/4/2005
18,"Veal - Tenderloin, Untrimmed",15.45,46.32,plastic,Khaki,3.74,Demizz,127.27,3/21/2018
19,Bread Base - Goodhearth,19.95,11.48,glass,Puce,4.37,Vimbo,671.98,9/20/2019
20,"Rum - Dark, Bacardi, Black",81.62,32.75,plastic,Goldenrod,4.95,Browsedrive,677.76,1/3/2018
21,Nantucket Pine Orangebanana,46.23,14.43,metal,Crimson,3.07,Avavee,664.17,7/22/2007
22,Lettuce - Red Leaf,3.59,4.07,metal,Crimson,6.59,Zooxo,742.88,6/10/2003
23,Magnotta - Bel Paese White,65.76,16.59,wood,Violet,8.57,Meemm,942.77,12/5/2015
24,Spice - Montreal Steak Spice,24.2,88.16,glass,Yellow,8.8,Talane,996.29,12/7/2014
25,Wine - Vineland Estate Semi - Dry,10.14,76.5,wood,Goldenrod,5.71,Twimm,685.16,12/25/2012
26,"Asparagus - White, Fresh",9.27,2.95,wood,Maroon,1.8,Bluejam,363.1,5/25/2003
27,Squash - Acorn,21.21,41.77,glass,Purple,1.77,Yakitri,921.31,12/25/2011
28,Wine - Montecillo Rioja Crianza,56.69,14.7,glass,Violet,8.18,Zoomlounge,433.3,4/8/2019
29,Bacardi Breezer - Tropical,60.92,21.41,glass,Goldenrod,0.33,Realbuzz,64.19,7/1/2002
30,Bread - Olive,85.12,39.82,wood,Yellow,3.3,Twitterbridge,610.41,1/24/2000
31,Sour Puss - Tangerine,37.33,28.9,wood,Teal,5.07,Meedoo,909.3,1/17/2020
32,Ice Cream - Chocolate,86.59,65.83,plastic,Maroon,3.97,Npath,556.37,2/27/2007
33,Sunflower Seed Raw,14.45,54.31,wood,Red,7.98,Twimm,859.01,1/27/2018
34,"Juice - Apple, 1.36l",82.78,23.57,plastic,Orange,5.32,Yotz,455.56,2/12/2016
35,Sponge Cake Mix - Vanilla,15.48,94.97,plastic,Mauv,6.17,Oodoo,352.19,11/24/2016
36,Napkin White,58.63,19.05,plastic,Goldenrod,0.24,Voolia,367.46,12/10/2019
37,Bread - Triangle White,90.53,53.5,metal,Fuscia,7.0,Realpoint,775.11,8/9/2016
38,Greens Mustard,41.15,49.53,plastic,Aquamarine,7.28,Jetwire,661.73,9/6/2021
39,Quail - Jumbo,65.18,72.5,metal,Goldenrod,0.32,Bubbletube,859.77,7/4/2003
40,"Trout - Rainbow, Fresh",33.62,9.05,plastic,Blue,0.82,Centizu,640.54,11/1/2003
41,Tea - Black Currant,23.22,1.61,wood,Indigo,1.25,Wordify,541.54,11/6/2016
42,Cod - Fillets,79.01,47.5,plastic,Crimson,5.24,Feedspan,848.9,12/13/2009
43,Soup - Tomato Mush. Florentine,8.64,13.76,glass,Red,3.51,Tagchat,228.76,5/5/2015
44,Crab - Soft Shell,24.5,68.26,plastic,Yellow,1.17,Tekfly,447.27,7/16/2005
45,"Beef - Tongue, Cooked",42.32,93.43,metal,Turquoise,6.55,Twitterwire,503.33,4/7/2004
46,Buffalo - Tenderloin,66.29,28.85,glass,Khaki,2.44,Leenti,455.27,3/30/2020
47,Cake - French Pear Tart,55.48,19.05,metal,Crimson,8.97,Gigazoom,980.72,3/2/2013
48,Tray - 12in Rnd Blk,92.53,22.65,glass,Green,8.02,Oozz,953.51,3/28/2003
49,Arizona - Green Tea,8.3,86.65,plastic,Orange,2.67,Ozu,987.54,4/2/2017
50,Coffee - Frthy Coffee Crisp,96.65,58.91,plastic,Red,6.89,Zoombeat,954.99,3/16/2010
51,"Artichokes - Knobless, White",32.02,35.54,plastic,Puce,2.09,Meezzy,461.04,1/23/2012
52,Wine - Vidal Icewine Magnotta,39.32,83.66,metal,Orange,9.63,Mynte,283.17,5/8/2022
53,"Lettuce - Romaine, Heart",48.5,1.34,glass,Khaki,3.62,Zoomcast,212.59,11/16/2010
54,Compound - Strawberry,9.4,46.72,glass,Turquoise,8.48,Jaxbean,11.45,10/1/2009
55,Chutney Sauce - Mango,92.48,61.4,glass,Fuscia,2.28,Feedmix,542.28,7/6/2017
56,"Ecolab - Orange Frc, Cleaner",17.32,38.25,wood,Indigo,6.12,Riffpath,591.17,5/30/2015
57,Beer - Rickards Red,85.87,37.23,metal,Indigo,7.78,Ailane,360.88,11/14/2018
58,Bacardi Mojito,37.29,99.23,glass,Puce,3.66,Devcast,802.96,4/18/2014
59,Muffin Puck Ww Carrot,86.16,77.61,metal,Fuscia,0.36,DabZ,953.74,12/4/2002
60,Buffalo - Short Rib Fresh,31.07,28.59,plastic,Yellow,7.02,Meevee,204.84,7/27/2006
61,Lighter - Bbq,7.97,8.35,glass,Goldenrod,9.81,Mydeo,603.31,6/20/2015
62,Sunflower Seed Raw,14.98,23.08,metal,Purple,8.17,Zoomdog,117.37,10/8/2008
63,"Yogurt - Raspberry, 175 Gr",76.84,61.59,metal,Blue,9.31,Lazz,521.32,8/12/2018
64,Cilantro / Coriander - Fresh,27.85,31.01,metal,Puce,10.0,Jabberstorm,77.92,5/9/2000
65,Toamtoes 6x7 Select,36.43,67.32,plastic,Orange,4.67,Podcat,543.87,6/7/2009
66,"Jam - Strawberry, 20 Ml Jar",85.79,48.87,wood,Turquoise,7.79,Teklist,193.3,5/27/2004
67,Venison - Racks Frenched,69.36,18.91,plastic,Purple,2.01,Lazzy,291.89,12/18/2019
68,V8 Pet,63.93,34.13,wood,Puce,4.57,Dablist,418.98,5/17/2019
69,"Pasta - Bauletti, Chicken White",67.9,15.57,plastic,Blue,4.84,Skilith,52.94,5/21/2006
70,"Gin - Gilbeys London, Dry",10.06,31.89,wood,Turquoise,1.29,Youspan,31.67,6/1/2021
71,Flax Seed,81.79,80.71,plastic,Indigo,0.89,Skippad,300.13,10/3/2012
72,Pork - Ham Hocks - Smoked,16.94,91.19,metal,Crimson,6.55,Edgewire,73.72,6/14/2015
73,"Sparkling Wine - Rose, Freixenet",24.03,35.88,glass,Crimson,3.66,Skyndu,450.14,9/17/2014
74,"Placemat - Scallop, White",79.25,75.39,metal,Goldenrod,1.65,Innojam,964.96,10/25/2004
75,Container Clear 8 Oz,67.36,45.64,glass,Orange,0.94,Quire,168.0,1/3/2004
76,Tart - Butter Plain Squares,68.06,28.75,wood,Teal,9.21,Twitterworks,291.67,4/13/2020
77,Canada Dry,69.96,34.61,plastic,Fuscia,2.56,Edgepulse,653.47,10/22/2017
78,"Club Soda - Schweppes, 355 Ml",26.61,88.46,wood,Puce,9.83,Photolist,183.05,10/18/2014
79,Lamb - Loin Chops,37.09,84.43,plastic,Teal,7.59,Blogpad,274.68,7/17/2007
80,Papayas,73.91,90.87,plastic,Aquamarine,3.6,Ailane,388.65,3/29/2011
81,Sambuca - Ramazzotti,33.2,10.54,glass,Teal,1.58,Jetpulse,570.08,8/19/2015
82,Oven Mitt - 13 Inch,89.14,34.04,plastic,Indigo,0.95,Photobug,378.74,4/23/2016
83,"Mushroom - Morels, Dry",77.97,52.12,plastic,Blue,5.41,Wikizz,836.26,2/15/2021
84,"Tortillas - Flour, 12",6.33,60.09,plastic,Green,2.56,Katz,388.49,1/25/2007
85,Cheese - Swiss,13.04,18.67,metal,Orange,2.22,BlogXS,977.47,11/13/2011
86,"Bread - Dark Rye, Loaf",76.24,89.92,plastic,Puce,4.07,Fivechat,991.88,2/8/2011
87,Bandage - Flexible Neon,60.38,51.22,glass,Turquoise,6.07,InnoZ,363.86,4/14/2017
88,Wine - Port Late Bottled Vintage,44.38,88.43,plastic,Turquoise,4.86,Dabshots,894.76,4/30/2007
89,V8 Splash Strawberry Kiwi,62.92,89.54,glass,Puce,4.94,Fivebridge,341.58,5/28/2011
90,Lettuce - Baby Salad Greens,96.45,79.7,metal,Red,4.17,Fiveclub,438.11,10/2/2017
91,Bananas,98.93,81.93,plastic,Maroon,8.1,Dynazzy,209.12,6/16/2005
92,Myers Planters Punch,78.63,94.91,plastic,Khaki,5.18,Ooba,892.56,10/6/2009
93,Propel Sport Drink,36.62,24.43,plastic,Green,3.28,Jabbersphere,145.29,9/7/2008
94,Sesame Seed,13.98,90.94,wood,Mauv,1.25,Kayveo,333.25,12/17/2019
95,Chevril,16.32,69.4,glass,Indigo,9.65,Dynabox,729.35,3/29/2006
96,Milk - 1%,91.56,72.59,wood,Aquamarine,3.87,DabZ,489.0,12/23/2003
97,Coriander - Seed,31.95,85.57,metal,Purple,5.45,Avavee,79.6,2/19/2013
98,Soup Campbells Mexicali Tortilla,21.74,11.67,glass,Crimson,2.59,Eamia,731.93,7/8/2020
